Year,Value
1898,-0.5008
1899,-0.4476
1900,-0.4489
1901,-0.4278
1902,-0.3708
1903,-0.3032
1904,-0.233
1905,-0.2322
1906,-0.2762
1907,-0.2897
1908,-0.4003
1909,-0.3876
1910,-0.3343
1911,-0.3476
1912,-0.3254
1913,-0.3676
1914,-0.3241
1915,-0.2684
1916,-0.2554
1917,-0.2246
1918,-0.2838
1919,-0.3084
1920,-0.2997
1921,-0.2622
1922,-0.23
1923,-0.2238
1924,-0.2292
1925,-0.2465
1926,-0.2214
1927,-0.2251
1928,-0.1868
1929,-0.1886
1930,-0.1689
1931,-0.1657
1932,-0.1008
1933,-0.1114
1934,-0.1141
1935,-0.0916
1936,-0.1541
1937,-0.17
1938,-0.2086
1939,-0.257
1940,-0.2281
1941,-0.2108
1942,-0.187
1943,-0.097
1944,-0.0554
1945,-0.0324
1946,-0.0351
1947,-0.0732
1948,-0.0851
1949,-0.0697
1950,-0.0289
1951,-0.0651
1952,-0.1284
1953,-0.1114
1954,-0.1216
1955,-0.0681
1956,-0.0922
1957,-0.0941
1958,-0.1411
1959,-0.1843
1960,-0.1246
1961,-0.1308
1962,-0.1457
1963,-0.1457
1964,-0.1224
1965,-0.167
1966,-0.1492
1967,-0.1249
1968,-0.133
1969,-0.1559
1970,-0.1814
1971,-0.1765
1972,-0.1981
1973,-0.1495
1974,-0.1357
1975,-0.1586
1976,-0.0886
1977,-0.1254
1978,-0.1949
1979,-0.143
1980,-0.1927
1981,-0.2114
1982,-0.1849
1983,-0.1705
1984,-0.1449
1985,-0.1814
1986,-0.2138
1987,-0.1724
1988,-0.1508
1989,-0.0992
1990,-0.0908
1991,-0.0757
1992,-0.1022
1993,-0.0886
1994,-0.0741
1995,-0.0292
1996,0.01
1997,-0.0443
1998,-0.0114
1999,0.0978
2000,0.1051